date_start,date_stop,campaign_name,adset_name,ad_name,cpm,impressions,reach,video_play_actions,video_views_3_Sec,video_p95_watched_actions,video_avg_time_watched_actions,clicks,link_clicks,ctr,outbound_clicks_ctr,view_content,Add_to_cart,initiate_checkout,purchase,cpc,link_click_cost,view_content_cost,add_to_cart_cost,purchase_cost,spend,ROAS,conversion_value,age,gender,frequency
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Imagen Retargeting 3,39.986408,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039986,0,0,25-34,unknown,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Imagen Retargeting 3,47.076197,282,264,0,0,0,0,11,2,3.900709,0.70922,1,0,0,0,1.206863,6.637744,13.275488,0,0,13.275488,0,0,35-44,female,1.068182
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Imagen Retargeting 3,53.731736,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429854,0,0,35-44,male,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Imagen Retargeting 3,197.432892,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789732,0,0,35-44,unknown,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Imagen Retargeting 3,57.097381,274,247,0,0,0,0,22,7,8.029197,2.554745,9,1,1,0,0.711122,2.234955,1.738298,15.644682,0,15.644682,0,0,45-54,female,1.109312
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Imagen Retargeting 3,99.966021,4,4,0,0,0,0,1,0,25,0,0,0,0,0,0.399864,0,0,0,0,0.399864,0,0,45-54,male,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Imagen Retargeting 3,84.971118,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169942,0,0,45-54,unknown,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Imagen Retargeting 3,67.783412,155,136,0,0,0,0,11,5,7.096774,3.225806,8,0,0,0,0.95513,2.101286,1.313304,0,0,10.506429,0,0,55-64,female,1.139706
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Imagen Retargeting 3,156.613433,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46984,0,0,55-64,male,1.5
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Imagen Retargeting 3,34.988107,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069976,0,0,55-64,unknown,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Imagen Retargeting 3,134.221044,75,69,0,0,0,0,14,8,18.666667,10.666667,7,0,0,0,0.719041,1.258322,1.438083,0,0,10.066578,0,0,65+,female,1.086957
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Imagen Retargeting 3,153.281232,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459844,0,0,65+,male,1.5
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Imagen Retargeting 3,59.979613,1,1,0,0,0,0,1,0,100,0,1,0,0,0,0.05998,0,0.05998,0,0,0.05998,0,0,65+,unknown,1
2024-08-06,2024-08-06,AS-SS-Advantage-04-07-24 Campaña,AS-SS-Advantage-04-07-24 Conjunto de anuncios,Vídeo 9 Serum,32.602879,19,19,19,6,2,6,1,1,5.263158,5.263158,0,0,0,0,0.619455,0.619455,0,0,0,0.619455,0,0,18-24,female,1
2024-08-06,2024-08-06,AS-SS-Advantage-04-07-24 Campaña,AS-SS-Advantage-04-07-24 Conjunto de anuncios,Vídeo 9 Serum,9.991205,4,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039965,0,0,18-24,male,1
